Date,Close,Volume
9/13/2024,11769.69727,12601300
9/17/2024,11144.97852,45242600
9/18/2024,10720.16992,34909700
9/19/2024,11020.03418,36434400
9/20/2024,8821.025391,17045100
9/23/2024,7071.813477,12591300
9/24/2024,7221.746094,467025900
9/25/2024,6971.858887,66286900
9/26/2024,7296.712402,58899700
9/27/2024,7171.768555,33279500
9/30/2024,6597.027344,50373500
10/1/2024,6796.9375,24884500
10/2/2024,6971.858887,60147400
10/3/2024,6846.915039,43581700
10/4/2024,6946.870117,53098700
10/7/2024,6746.959961,24792200
10/8/2024,6696.982422,12943900
10/9/2024,6597.027344,11196700
10/10/2024,6522.061523,10231500
10/11/2024,6497.072754,14669000
10/14/2024,6696.982422,19802300
10/15/2024,6547.050293,16954300
10/16/2024,6871.903809,26103900
10/17/2024,7171.768555,43453000
10/18/2024,7171.768555,95394100
10/21/2024,7021.835938,20722600
10/22/2024,7621.565918,69416000
10/23/2024,7571.588379,39537300
10/24/2024,7396.66748,25490300
10/25/2024,7271.723633,13699600
10/28/2024,6796.9375,38459900
10/29/2024,6796.9375,10521400
10/30/2024,6671.993652,9464700
10/31/2024,6796.9375,18560900
11/1/2024,6696.982422,11549600
11/4/2024,6597.027344,8692500
11/5/2024,6397.117676,15252200
11/6/2024,6372.128906,16740100
11/7/2024,5997.297852,14418500
11/8/2024,6871.903809,56915100
11/11/2024,7371.678711,51912700
11/12/2024,7496.62207,55528200
11/13/2024,7371.678711,22572100
11/14/2024,7021.835938,19680100
11/15/2024,6896.892578,20269300
11/18/2024,6671.993652,12541000
11/19/2024,6846.915039,13064000
11/20/2024,6746.959961,7025800
11/21/2024,6547.050293,12451700
11/22/2024,6696.982422,10506200
11/25/2024,6896.892578,18223100
11/26/2024,6696.982422,12522000
11/28/2024,6746.959961,4553600
11/29/2024,6622.016113,12623100
12/2/2024,6721.971191,8955800
12/3/2024,6796.9375,10095800
12/4/2024,7471.633301,41585700
12/5/2024,7496.62207,33477500
12/6/2024,8496.171875,65924600
12/9/2024,8321.250977,31066900
12/10/2024,8446.194336,38842600
12/11/2024,8396.216797,29210500
12/12/2024,8525,17602300
12/13/2024,8525,27358700
12/16/2024,8425,24698300
12/17/2024,8800,37949700
12/18/2024,8975,24813500
12/19/2024,8825,26992300
12/20/2024,9200,32532200
12/23/2024,9375,27643300
12/24/2024,9125,21027300
12/27/2024,9200,11432100
12/30/2024,9275,22948300
1/2/2025,9475,31228000
1/3/2025,9675,16136000
1/6/2025,9800,19534300
1/7/2025,10550,50713700
1/8/2025,10475,35618900
1/9/2025,10225,21496500
1/10/2025,10450,16317700
1/13/2025,10025,37723000
1/14/2025,9650,30077600
1/15/2025,9075,40012900
1/16/2025,9575,35353500
1/17/2025,9825,60357300
1/20/2025,9600,21370700
1/21/2025,9850,50440000
1/22/2025,9850,25079100
1/23/2025,10000,22516700
1/24/2025,9600,28283600
1/30/2025,9125,19450700
1/31/2025,9025,13310200
2/3/2025,8400,27467700
2/4/2025,8875,17040900
2/5/2025,8850,13590000
2/6/2025,8775,8514600
2/7/2025,7025,9594200
2/10/2025,6650,154387100
2/11/2025,6025,60707200
2/12/2025,6275,27758900
2/13/2025,6125,20652100
2/14/2025,6150,17429300
2/17/2025,7025,45916300
2/18/2025,6825,26653500
2/19/2025,6725,11896600
2/20/2025,6700,12642500
2/21/2025,6900,21679300
2/24/2025,6300,23643300
2/25/2025,6125,19056200
2/26/2025,6425,23444300
2/27/2025,6200,19662900
