Date,Close,Volume
3/22/2024,5345.967285,3728700
3/25/2024,5345.967285,0
3/26/2024,5345.967285,0
3/27/2024,5445.89209,5390600
3/28/2024,5370.94873,2727000
4/1/2024,5395.929688,4999900
4/2/2024,5720.68457,10248500
4/3/2024,5670.722656,13411500
4/4/2024,5870.571777,6684400
4/5/2024,6919.780273,67105300
4/16/2024,7469.365723,74828100
4/17/2024,7944.007813,65779000
4/18/2024,7919.026367,40979900
4/19/2024,8118.875977,119478400
4/22/2024,7619.25293,23379200
4/23/2024,7294.497559,14117500
4/24/2024,7968.98877,16627200
4/25/2024,8268.762695,16941200
4/26/2024,8618.499023,36478400
4/29/2024,9018.197266,17974400
4/30/2024,9218.046875,24471600
5/2/2024,9867.556641,22657200
5/3/2024,9867.556641,0
5/6/2024,9292.990234,13332100
5/7/2024,9867.556641,13495400
5/8/2024,9642.726563,12895300
5/13/2024,9442.876953,12510700
5/14/2024,9268.009766,11060200
5/15/2024,9967.481445,32641300
5/16/2024,10367.17969,25578300
5/17/2024,10741.89746,33916900
5/20/2024,10966.72852,20232700
5/21/2024,11141.5957,17838200
5/22/2024,11241.52051,14429800
5/27/2024,11241.52051,0
5/28/2024,11241.52051,0
5/29/2024,10117.36914,3269100
5/30/2024,9118.12207,338500
5/31/2024,8218.800781,1072500
6/3/2024,7944.007813,28527100
6/4/2024,8243.78125,14694300
6/5/2024,7419.40332,3842600
6/6/2024,6694.949707,3041600
6/7/2024,6047.275391,2561500
6/10/2024,6647.004883,69433800
6/11/2024,7296.712402,29963800
6/12/2024,8021.385742,22866000
6/13/2024,8021.385742,6122700
6/14/2024,7846.464355,3790700
6/19/2024,8246.28418,6744200
6/20/2024,8446.194336,8628800
6/21/2024,9095.901367,59659500
6/24/2024,9395.766602,22229200
6/25/2024,9645.654297,22310600
6/26/2024,9745.608398,15070700
6/27/2024,9795.585938,9625300
6/28/2024,10070.46289,30775000
7/1/2024,10420.30469,24594800
7/2/2024,10145.42871,22879500
7/3/2024,10345.33887,12859500
7/4/2024,10395.31641,9005200
7/5/2024,10295.36133,11766300
7/8/2024,10170.41699,7814100
7/9/2024,9945.518555,13353200
7/10/2024,9820.575195,10028200
7/11/2024,9420.754883,17882200
7/12/2024,9445.744141,20197400
7/15/2024,9045.923828,19445200
7/16/2024,8496.171875,28227600
7/17/2024,7771.498535,46259600
7/18/2024,8696.082031,51865800
7/19/2024,8721.070313,98544500
7/22/2024,9045.923828,28857600
7/23/2024,8746.05957,18774000
7/24/2024,8546.149414,14257200
7/25/2024,8371.228516,18465200
7/26/2024,8796.037109,12978100
7/29/2024,8596.126953,13833100
7/30/2024,8646.104492,11045600
7/31/2024,8646.104492,14387900
8/1/2024,8671.092773,7539700
8/2/2024,8596.126953,6976600
8/5/2024,7896.441895,28040800
8/6/2024,7946.419434,15551700
8/7/2024,8221.295898,20367100
8/8/2024,8121.34082,8853500
8/9/2024,8346.239258,9458700
8/12/2024,8421.206055,6735900
8/13/2024,8396.216797,9766200
8/14/2024,8796.037109,16591200
8/15/2024,8671.092773,12918000
8/16/2024,8746.05957,7753700
8/19/2024,9195.856445,34839100
8/20/2024,9420.754883,28068200
8/21/2024,9520.709961,19196600
8/22/2024,9370.777344,25542900
8/23/2024,9445.744141,23899900
8/26/2024,9720.620117,57298000
8/27/2024,9795.585938,17492500
8/28/2024,10195.40625,40802700
8/29/2024,10420.30469,81771500
8/30/2024,10745.1582,41385100
9/2/2024,10745.1582,38161000
9/3/2024,10245.38379,33730400
9/4/2024,11244.93359,51227800
9/5/2024,10745.1582,45513500
9/6/2024,10795.13574,23803900
9/9/2024,10745.1582,26312900
9/10/2024,11494.82031,38892300
9/11/2024,11894.64063,41615200
9/12/2024,11744.70801,25427800
